@relation cleaned_global_dataflow

@attribute Year numeric
@attribute Under-five_mortality_rate numeric
@attribute Under-five_deaths numeric
@attribute BMI-for-age_<-3_SD numeric
@attribute BMI-for-age_>+3_SD numeric
@attribute Height-for-age_<-3_SD_(Severe_Stunting) numeric
@attribute Height-for-age_>+3_SD numeric
@attribute Weight-for-age_(>+3_SD) numeric
@attribute Weight-for-height_<-3_SD_(severe_wasting) numeric

@data
1998,37.1195565238471,6437,0.4,0.9,9.8,0.1,0.2,0.4
2004,138.11419769104,4243,1.4,2.5,13.7,0.9378339413429453,0.48640895836556197,1.3
2000,155.386310175304,4141,3.7,6.5,23.2,2.7,1.3,4.2
1997,166.144564064456,4086,1.7,2.4,19.6,0.8831122786589176,0.3261111178715801,2.5
2010,55.2071556869844,5809,3.5,1.1,27.3,0.6,0.2,4.0
2002,77.4786707255329,7071,4.0,0.7,19.9,0.9,0.2,4.8
1995,114.711405523281,9637,6.7,0.3,22.6,1.1,0.1,5.8
2014,3.35506996026381,46,0.3,1.0,0.4,1.1,0.8,0.0
2014,67.1880712822407,2168,0.6,2.1,7.3,0.4,0.7,0.4
2010,88.151155979841,2949,0.2,2.7,10.0,0.3,0.5,0.4
2006,110.264245363412,3674,1.3,3.3,10.6,1.2,0.8,1.2
2000,114.087909682562,3737,0.6,4.7,15.1,1.4,1.0,0.7
2019,52.0673596387572,189597,1.0,0.7,12.3,0.7,0.2,1.1
2016,59.8782039734925,203545,3.1,1.2,17.5,1.5,0.2,3.0
2014,66.4579820321399,218027,2.3,1.3,18.9,1.9,0.7,2.7
2011,78.0511973721017,252330,2.5,0.8,21.0,1.1,0.3,2.9
2005,109.476667701315,338122,4.2,2.3,28.1,2.0,0.3,4.7
2000,141.179617230674,406947,3.1,0.7,31.8,0.6,0.1,3.8
2021,27.7190634773694,502,1.3,3.1,3.3,1.6,1.6,1.1
2004,23.0403517797942,479,2.4,1.9,2.8,5.6,1.2,1.8
2012,56.947833200839,3264,1.6,2.5,6.0,1.5,1.4,1.3
2000,84.3629225763423,3465,1.3,1.7,8.8,2.0,0.9,1.5
2020,48.9272039854192,4191,0.8,0.2,3.5,0.0,0.1,0.6
2013,64.5984573285175,5264,4.2,1.6,8.7,2.1,0.2,4.3
2012,67.3501873087339,5392,1.4,0.2,4.8,0.5,0.1,1.6
2006,87.2780492172198,6007,2.0,0.9,10.6,1.0,0.3,1.8
2000,113.094868144151,6729,2.1,1.2,8.4,2.1,0.2,2.5
2018,9.84196026228884,546,0.1,0.9,1.3,1.4,0.7,0.1
2009,15.532651058979,855,0.4,7.0,5.0,1.7,2.0,0.3
2005,23.5096673906799,1153,1.6,9.2,7.7,4.1,2.6,1.1
2016,3.89540364967379,2931,0.0,0.2,0.0,0.6,0.5,0.0
2004,4.84999998609329,3390,0.1,0.6,0.2,0.7,0.5,0.1
2017,50.8605440813179,45098,1.2,0.3,4.8,0.6,0.1,1.1
2014,57.7242304494858,50850,0.7,0.7,5.0,0.6,0.2,0.7
2011,66.506405425965,55494,1.3,0.9,6.8,0.6,0.1,1.4
2008,75.941224552707,59743,2.7,2.6,10.5,2.2,1.2,2.4
2006,81.1001209063583,62194,1.7,0.6,9.9,0.9,0.2,1.8
2003,88.8563936848466,63914,2.8,1.9,14.1,0.9,0.4,2.8
1998,107.383003651427,68654,2.4,1.0,12.7,0.6,0.3,2.5
1997,110.306736308123,69479,2.0,0.6,15.7,1.0,0.4,2.2
2003,5.19374940876956,568,0.2,3.8,0.3,1.2,3.3,0.1
2015,28.3531162701275,11614,0.2,0.7,4.38171911459483,0.0,0.2,0.22380863190386124
2009,36.2662514471826,14393,0.1,0.9,22.0,0.0,0.1,0.2
2002,48.105260403739,19539,0.8,1.4,27.0,0.2,0.1,0.8
2000,52.1504998737223,20828,1.7,3.4,27.5,0.8,0.7,1.6
1999,54.3293909677682,21532,1.3,2.2,27.4,0.3,0.6,1.4
1995,64.3044450722243,24323,1.4,2.1,29.0,0.2,0.3,1.5
2018,105.938838880226,46799,3.6,2.5,13.4,3.3,0.7,3.6
2016,109.897099932396,47513,2.7,1.4,14.6,1.8,0.6,2.9
2007,129.591562338177,47441,2.4,2.4,13.7,1.3,0.2,2.4
2005,136.901104293317,48431,4.0,2.0,19.0,2.5,0.8,4.2
1999,172.562085255403,58023,4.2,1.8,12.8,2.2,0.8,4.0
2014,95.6487513926593,5958,1.3,0.6,8.2,0.6,0.1,1.4
2012,103.943820671913,6316,0.7,0.1,7.3,0.4,0.1,0.9
2010,114.394098919727,6738,1.0,0.8,10.2,0.5,0.2,1.0
2000,173.455127309608,8792,4.6,1.8,14.4,1.6,0.4,4.8
2019,29.1955156443557,477,1.8,2.7,2.7,1.1,1.5,1.9
2014,34.1148810853265,549,1.6,2.1,3.1,1.9,1.4,1.7
2009,38.0866939292332,636,1.1,3.4,6.1,1.0,1.8,1.2
2006,40.4894229076313,710,3.2,2.6,7.7,2.4,2.3,2.6
2000,46.5538740873621,931,4.0,2.1,4.8,2.3,0.7,4.3
2017,65.9187961890817,17724,1.0,1.0,7.7,1.1,0.3,0.8
2012,75.3030178026637,20102,1.3,0.8,10.766175057294816,0.8,0.2,1.4034115686461777
2006,86.8505066919328,22790,3.5,0.9,10.4,0.3,0.1,3.3
2000,103.440798011123,27054,1.5,0.9,9.9,0.7,0.2,1.5
2019,17.7289273865729,3796,0.4,1.2,4.1,0.2,0.6,0.5
2012,22.8465001586891,4854,0.3,1.3,6.0,0.2,0.5,0.3
2006,28.6770005062335,6332,0.3,1.6,9.6,0.3,0.6,0.3
2001,35.6972527329038,7978,0.2,0.6,12.6,0.2,0.3,0.2
1996,44.4527292555837,9318,0.1,0.5,18.1,0.2,0.2,0.3
2020,32.3508901090913,756057,7.3,1.5,15.1,2.6,0.3,7.5
2015,43.589147437322,1084594,7.4,1.0,16.2,2.1,0.3,7.7
2006,71.0628599303532,1946859,6.1,1.0,23.7,1.2,0.1,6.8
1999,95.3089059575516,2674942,6.6,2.0,28.1,1.3,0.4,5.9
2013,29.8250642108104,147617,6.9,5.8,16.7,3.871255067752972,1.4920624265733746,6.7
2010,33.6756052175383,164574,5.9,6.6,19.7,3.799253114172795,1.674746610133571,5.4
2007,38.093951391384,183478,7.3,6.0,21.0,3.999842418482525,1.4660188495967716,6.8
2004,49.2924382509258,229068,5.8,2.2,12.0,4.8,0.8,5.1
2001,49.6749018986288,231535,0.8,0.2,15.0,0.1,0.0,0.8
2000,52.048079343908,242772,0.9,0.3,15.8,0.6,0.4,0.9
2018,26.7869586614899,30849,1.0,2.0,4.1,1.5,0.4,0.9
2011,33.6716459155742,36355,2.9,4.6,9.2,1.9,0.8,2.7
2006,38.9905937451847,37944,2.9,6.5,12.2,3.1,1.3,2.7
2000,44.3988205783644,38545,2.5,2.1,9.3,0.9,0.2,2.4
2018,18.7372726277147,666,1.1,1.6,1.4,1.0,2.5,1.0
2016,18.6345943640975,724,1.1,2.3,2.6,4.6,2.6,0.5
2014,18.7688966519874,749,0.2,4.3,1.8,0.8,2.8,0.5
2012,18.9351538913003,795,0.9,2.2,2.1,1.1,1.1,0.8
2010,19.0498799487125,831,1.6,1.0,2.2,0.2,0.7,1.5
2008,19.1043345794405,869,0.3,2.3,2.2,1.6,1.4,0.3
2007,19.1089914015293,901,0.8,3.2,2.7,0.9,1.2,1.2
2006,19.1034431772684,928,1.2,1.6,2.5,2.6,1.0,0.9
2004,19.1577871770982,947,0.9,3.2,1.5,1.7,2.4,1.1
2002,19.5848233800886,979,0.9,2.3,3.1,1.7,1.4,0.7
2001,19.9773732957344,1012,1.0,1.6,2.9,2.3,1.6,1.0
2000,20.5051078961793,1092,1.6,1.4,2.0,1.2,1.0,1.5
1999,21.1317503939698,1202,1.1,0.8,1.1,2.9,1.3,0.9
1998,21.8459503394591,1284,1.3,0.9,1.8,3.1,0.4,0.9
1997,22.6274038436708,1344,0.7,1.3,3.3,1.7,1.1,0.3
1996,23.44233619888,1433,0.3,1.3,3.4,1.3,0.9,0.1
